nom_estab,codigo_act,nombre_act,per_ocu,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,latitud,longitud,fecha_alta
ART OF DENTISTRY,621211,Consultorios dentales del sector privado,6 a 10 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71480859,-114.7282802,2019-11
ART. DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21200,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.6590472,-115.4353079,2010-07
ARTE DENTAL TIJUANA,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53010615,-117.0289124,2019-11
ASHLEY DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22580,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51337583,-116.8928761,2019-11
ASHLEY DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22207,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51351071,-116.8912886,2019-11
ASHLEY DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22236,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.48674774,-116.8496027,2019-11
ATENCION DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22330,2,BAJA CALIFORNIA,4,Tijuana,1616,Lomas del Valle,32.48775366,-116.8067909,2020-11
AVEC DENTAL,621211,Consultorios dentales del sector privado,6 a 10 personas,22890,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.83660965,-116.5994306,2014-12
AVILAS DENTAL GROUP,621211,Consultorios dentales del sector privado,11 a 30 personas,22710,2,BAJA CALIFORNIA,5,Playas de Rosarito,1,Playas de Rosarito,32.36246007,-117.0593577,2010-07
AXIS TECNOLOGIA DENTAL,621211,Consultorios dentales del sector privado,11 a 30 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71500688,-114.7264514,2014-12
AXOR DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22206,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.49687183,-116.886423,2010-07
B & K DENT,621211,Consultorios dentales del sector privado,0 a 5 personas,21420,2,BAJA CALIFORNIA,3,Tecate,1,Tecate,32.57266709,-116.6215105,2019-11
B1 DENTAL ESTUDIO,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52297656,-117.0112497,2019-11
BABEL DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22630,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.4921833,-116.9556152,2019-11
BACH GRUPO DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52336114,-117.01455,2014-12
BAJA  DENTAL  GROUP,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52226431,-117.0141062,2014-12
BAJA DENT CONSULTORIO DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.86148916,-116.6268765,2010-07
BAJA DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22710,2,BAJA CALIFORNIA,5,Playas de Rosarito,1,Playas de Rosarito,32.31122108,-117.045391,2014-12
BAJA DENTAL CARE,621211,Consultorios dentales del sector privado,6 a 10 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71710975,-114.7300039,2019-11
BAJA DENTAL CARE,621211,Consultorios dentales del sector privado,0 a 5 personas,22830,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.85752816,-116.6082626,2010-07
BAJA DENTAL CENTER,621211,Consultorios dentales del sector privado,6 a 10 personas,22200,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51135688,-116.91082,2010-07
BAJA DENTAL GROUP,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52046737,-117.0062452,2010-07
BAJA DENTAL HEALTH,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.54053563,-117.0300003,2014-12
BAJA DENTAL SMILE,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52074471,-117.0126287,2019-11
BAJA DENTIST,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53126185,-117.0237573,2019-11
BAJA ORAL CENTER,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52392131,-117.0140491,2010-07
BAJA ORTHO DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52939922,-117.0396611,2019-11
BAJA SMILE,621211,Consultorios dentales del sector privado,0 a 5 personas,22435,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.54506779,-116.9239716,2014-12
BAJA SMILE DENTAL ART CENTER,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52251622,-117.0152811,2010-07
BC DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52237703,-117.0154037,2010-07
BC DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52237703,-117.0154037,2010-07
BC DENTAL CENTER,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.717115,-114.7298983,2019-11
BCN,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71717863,-114.7278867,2010-07
BEAUTIFUL SMILES,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71719625,-114.7284894,2014-12
BEAUTY DENTAL HEALTH,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52803158,-117.0311895,2019-11
BECERRA DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22920,2,BAJA CALIFORNIA,1,Ensenada,268,Vicente Guerrero,30.7230953,-115.9893061,2019-11
BELLEZA INTEGRAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22106,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.50756279,-116.9814396,2019-11
BELVAZ DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.7170686,-114.7287491,2014-12
BERNAL DENTAL CLUB,621211,Consultorios dentales del sector privado,6 a 10 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71735436,-114.7304627,2010-07
BEST DENTAL CARE,621211,Consultorios dentales del sector privado,6 a 10 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71710095,-114.7301809,2010-07
BEST DENTAL CARE,621211,Consultorios dentales del sector privado,0 a 5 personas,22015,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51985257,-117.0183523,2019-11
BEUTYL DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22710,2,BAJA CALIFORNIA,5,Playas de Rosarito,1,Playas de Rosarito,32.36915045,-117.0509755,2019-11
BGDENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22410,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.54063743,-116.9935981,2019-11
BIENESTAR DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22785,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.78379918,-116.5869324,2010-07
BIENESTAR DENTAL ODONTOLOGIA Y MASOTERAPIA,621211,Consultorios dentales del sector privado,0 a 5 personas,21100,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.66365175,-115.4859552,2019-11
BIENESTAR INTEGRAS DENTISTA,621211,Consultorios dentales del sector privado,0 a 5 personas,22106,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.50756279,-116.9814396,2019-11
BIO DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22237,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.45838278,-116.8954745,2019-11
BIO DENTAL,621211,Consultorios dentales del sector privado,31 a 50 personas,22014,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51370422,-117.0098022,2016-10
BIO DENTAL ART,621211,Consultorios dentales del sector privado,0 a 5 personas,22205,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51377353,-116.8691249,2020-11
BIO DENTAL CARE,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52463457,-117.019138,2019-11
BIO DENTAL LIFE,621211,Consultorios dentales del sector privado,6 a 10 personas,,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53779456,-117.0261066,2014-12
BIO DENTAL PLUS,621211,Consultorios dentales del sector privado,0 a 5 personas,21100,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.66313668,-115.4926122,2019-11
BIO ENDO SOLUCIONES ENDODONTICASS,621211,Consultorios dentales del sector privado,0 a 5 personas,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.87240037,-116.626165,2019-11
BIO HOLISTIC DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22015,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52025095,-117.0145741,2019-11
BIO SMILE DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71605133,-114.7292344,2019-11
BIODENTAL CARE,621211,Consultorios dentales del sector privado,0 a 5 personas,22830,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.85971176,-116.6145355,2010-07
BIODENTAL LIFE,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53687842,-117.0247101,2019-11
BIODENTAL RODRIGUEZ,621211,Consultorios dentales del sector privado,0 a 5 personas,22706,2,BAJA CALIFORNIA,5,Playas de Rosarito,1,Playas de Rosarito,32.37074483,-117.0526308,2019-11
BIODENTAL STUDIOS,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53026678,-117.0429634,2010-07
BIOIMPLANTCENTER,621211,Consultorios dentales del sector privado,6 a 10 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52765066,-117.0282425,2019-11
BLUE DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21340,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.61374105,-115.4788009,2019-11
BLUE DENTAL TIJUANA,621211,Consultorios dentales del sector privado,0 a 5 personas,22234,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.48354463,-116.8809811,2020-11
BOCA SANA,621211,Consultorios dentales del sector privado,0 a 5 personas,22040,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52162936,-117.0282889,2014-12
BOCA SANA CONSULTORRIO DE ODONTOLOGIA,621211,Consultorios dentales del sector privado,0 a 5 personas,21399,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.61061814,-115.3953051,2010-07
BOCCA DENTAL CLINIC,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52931601,-117.0379547,2019-11
BOCCA DENTAL GROUP,621211,Consultorios dentales del sector privado,0 a 5 personas,21290,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.63592838,-115.4428305,2014-12
BODEGA AUXILIAR DE CLINICA DENTAL RAYGOZA,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53556473,-117.038154,2019-11
BORDER LINE DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71771382,-114.7291458,2019-11
BRIGHT DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71689934,-114.7313338,2019-11
BRIGHT SMILE FACTORY,621211,Consultorios dentales del sector privado,0 a 5 personas,22105,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51530477,-117.0091928,2014-12
BRISEÃ‘O DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22106,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.49775095,-116.975325,2019-11
C D DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53146298,-117.0411531,2019-11
C DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21391,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.59179687,-115.3954021,2010-07
C0NSULTORIO DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22013,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52643244,-117.0411932,2014-12
CABUTO CAÃ‘IZALES DENTISTAS,621211,Consultorios dentales del sector privado,0 a 5 personas,21100,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.6612546,-115.4606767,2014-12
CALIFORNIA DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21100,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.6649875,-115.4839026,2014-12
CALIFORNIA DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53687842,-117.0247101,2012-06
CALIFORNIA DENTAL CARE,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71705571,-114.7289667,2014-12
CALIFORNIA DENTAL CLINIC,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52486443,-117.0221281,2019-11
CALIFORNIA DENTAL OFFICE,621211,Consultorios dentales del sector privado,6 a 10 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.54053563,-117.0300003,2010-07
CALIFORNIA DENTAL SPA,621211,Consultorios dentales del sector privado,0 a 5 personas,21850,2,BAJA CALIFORNIA,2,Mexicali,284,San Felipe,31.01764073,-114.8440631,2010-07
CAMBEROS DENTAL LOFT,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53131702,-117.0427833,2019-11
CAMCOL INSTITUTO MEDICO,621211,Consultorios dentales del sector privado,0 a 5 personas,22880,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.85910861,-116.6015777,2019-11
CARABARIN DENTAL GROUP,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52226431,-117.0141062,2014-12
CARLINS DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22237,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.4674174,-116.8746353,2010-07
CARLINS DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22207,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51174408,-116.8988139,2010-07
CARLOS MAYA ZURITA D.D.S Y ASSOCIATES,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71603778,-114.728794,2014-12
CASA DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22044,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51293455,-117.0180447,2010-07
CASO DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21250,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.64871012,-115.4279736,2019-11
CASTILLO DENTAL,621211,Consultorios dentales del sector privado,6 a 10 personas,21100,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.66495432,-115.4868256,2010-07
CASTLE DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71698319,-114.7301067,2019-11
CASTLE DENTAL,621211,Consultorios dentales del sector privado,6 a 10 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71713284,-114.7295397,2010-07
CEBALLOS S DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71589864,-114.7299644,2010-07
CEDENT,621211,Consultorios dentales del sector privado,0 a 5 personas,22709,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.43823868,-117.0396803,2014-12
CENRTO DE ODONTOLOGIA ESPECIALISADA,621211,Consultorios dentales del sector privado,6 a 10 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53206209,-117.0440453,2014-12
CENTRAL MEDICA CONSULTORIO DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.87179845,-116.625189,2010-07
CENTRAL PARK DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53075952,-117.0242119,2019-11
CENTRO DE ANTENCION DENTAL Y ASESORIA PSICOLOGICA,621211,Consultorios dentales del sector privado,0 a 5 personas,22214,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.50750429,-116.9155184,2010-07
CENTRO DE ATENCION DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.86993145,-116.6232409,2010-07
CENTRO DE ATENCION ODONTOLOGICO,621211,Consultorios dentales del sector privado,0 a 5 personas,22030,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.49674935,-116.9950968,2014-12
CENTRO DE ENDODONCIA DE TIJUANA,621211,Consultorios dentales del sector privado,6 a 10 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53139152,-117.0419616,2010-07
CENTRO DE ESPECIALIDADES DENTAL AGUILAR,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51863591,-117.0173037,2010-07
